backend,epoch,ms
PMAD,1,78.2673
Eigen,1,117.4723
PMAD,2,79.0853
Eigen,2,117.0459
PMAD,3,77.8389
Eigen,3,117.6985
PMAD,4,77.6661
Eigen,4,118.0153
PMAD,5,76.9537
Eigen,5,117.3246
PMAD,6,77.2776
Eigen,6,117.5033
PMAD,7,77.1205
Eigen,7,117.9557
PMAD,8,77.3916
Eigen,8,117.0162
PMAD,9,77.2003
Eigen,9,116.9211
PMAD,10,77.9722
Eigen,10,116.7987
PMAD,11,76.3473
Eigen,11,117.1398
PMAD,12,77.2204
Eigen,12,117.2082
PMAD,13,77.6569
Eigen,13,117.0371
PMAD,14,79.8037
Eigen,14,117.4595
PMAD,15,78.1536
Eigen,15,117.1430
PMAD,16,77.3186
Eigen,16,117.0677
PMAD,17,86.0318
Eigen,17,117.6035
PMAD,18,77.7381
Eigen,18,118.7517
PMAD,19,77.7598
Eigen,19,117.5483
PMAD,20,80.1627
Eigen,20,117.5217
