backend,epoch,ms
PMAD,1,34.1765
Eigen,1,40.4445
PMAD,2,34.0247
Eigen,2,40.8912
PMAD,3,34.6946
Eigen,3,40.7529
PMAD,4,34.4325
Eigen,4,40.6624
PMAD,5,34.4847
Eigen,5,41.0275
PMAD,6,34.5528
Eigen,6,40.5271
PMAD,7,34.4674
Eigen,7,40.5810
PMAD,8,34.3626
Eigen,8,40.9823
PMAD,9,34.3777
Eigen,9,40.3268
PMAD,10,34.6129
Eigen,10,40.4861
PMAD,11,34.8848
Eigen,11,40.5774
PMAD,12,35.0271
Eigen,12,40.8293
PMAD,13,34.5307
Eigen,13,40.8372
PMAD,14,34.0130
Eigen,14,42.2107
PMAD,15,34.5148
Eigen,15,41.5538
PMAD,16,34.4950
Eigen,16,41.4295
PMAD,17,34.1290
Eigen,17,41.7685
PMAD,18,33.9013
Eigen,18,40.5649
PMAD,19,33.9444
Eigen,19,40.7277
PMAD,20,34.1873
Eigen,20,41.3531
